-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2025 through 06/30/2025 in LST
Location: Latitude  27.7033   Longitude 68.8589 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2025,5,22,14,818.17
2025,5,22,15,659.08
2025,5,22,16,455.73
2025,5,22,17,234.75
2025,5,22,18,63.03
2025,5,22,19,0.0
2025,5,22,20,0.0
2025,5,22,21,0.0
2025,5,22,22,0.0
2025,5,22,23,0.0
2025,5,23,0,0.0
2025,5,23,1,0.0
2025,5,23,2,0.0
2025,5,23,3,0.0
2025,5,23,4,0.0
2025,5,23,5,4.1
2025,5,23,6,83.28
2025,5,23,7,242.82
2025,5,23,8,424.8
2025,5,23,9,596.08
2025,5,23,10,727.85
2025,5,23,11,807.95
2025,5,23,12,847.1
2025,5,23,13,805.17
2025,5,23,14,740.9
2025,5,23,15,601.03
2025,5,23,16,419.42
2025,5,23,17,221.95
2025,5,23,18,60.65
2025,5,23,19,0.0
2025,5,23,20,0.0
2025,5,23,21,0.0
2025,5,23,22,0.0
2025,5,23,23,0.0
2025,5,24,0,0.0
2025,5,24,1,0.0
2025,5,24,2,0.0
2025,5,24,3,0.0
2025,5,24,4,0.0
2025,5,24,5,3.97
2025,5,24,6,76.1
2025,5,24,7,210.48
2025,5,24,8,398.85
2025,5,24,9,590.9
2025,5,24,10,747.67
2025,5,24,11,875.25
2025,5,24,12,940.97
2025,5,24,13,820.28
2025,5,24,14,672.55
2025,5,24,15,532.85
2025,5,24,16,376.45
2025,5,24,17,201.6
2025,5,24,18,56.67
2025,5,24,19,0.0
2025,5,24,20,0.0
2025,5,24,21,0.0
2025,5,24,22,0.0
2025,5,24,23,0.0
2025,5,25,0,0.0
2025,5,25,1,0.0
2025,5,25,2,0.0
2025,5,25,3,0.0
2025,5,25,4,0.0
2025,5,25,5,3.95
2025,5,25,6,66.45
2025,5,25,7,160.2
2025,5,25,8,325.6
2025,5,25,9,498.48
2025,5,25,10,591.5
2025,5,25,11,771.35
2025,5,25,12,752.95
2025,5,25,13,588.78
2025,5,25,14,614.15
2025,5,25,15,479.48
2025,5,25,16,319.33
2025,5,25,17,127.97
2025,5,25,18,40.75
2025,5,25,19,0.0
2025,5,25,20,0.0
2025,5,25,21,0.0
2025,5,25,22,0.0
2025,5,25,23,0.0
2025,5,26,0,0.0
2025,5,26,1,0.0
2025,5,26,2,0.0
2025,5,26,3,0.0
2025,5,26,4,0.0
2025,5,26,5,3.28
2025,5,26,6,65.07
2025,5,26,7,171.8
2025,5,26,8,306.75
2025,5,26,9,482.0
2025,5,26,10,609.33
2025,5,26,11,735.55
2025,5,26,12,601.0
2025,5,26,13,675.0
2025,5,26,14,588.5
2025,5,26,15,444.1
2025,5,26,16,283.88
2025,5,26,17,147.73
2025,5,26,18,44.42
2025,5,26,19,0.0
2025,5,26,20,0.0
2025,5,26,21,0.0
2025,5,26,22,0.0
2025,5,26,23,0.0
2025,5,27,0,0.0
2025,5,27,1,0.0
2025,5,27,2,0.0
2025,5,27,3,0.0
2025,5,27,4,0.0
2025,5,27,5,3.78
2025,5,27,6,66.78
2025,5,27,7,182.12
2025,5,27,8,334.15
2025,5,27,9,527.78
2025,5,27,10,648.25
2025,5,27,11,776.33
2025,5,27,12,757.25
2025,5,27,13,725.67
2025,5,27,14,573.08
2025,5,27,15,492.7
2025,5,27,16,303.92
2025,5,27,17,136.7
2025,5,27,18,42.5
2025,5,27,19,0.0
2025,5,27,20,0.0
2025,5,27,21,0.0
2025,5,27,22,0.0
2025,5,27,23,0.0
2025,5,28,0,0.0
2025,5,28,1,0.0
2025,5,28,2,0.0
2025,5,28,3,0.0
2025,5,28,4,0.0
2025,5,28,5,3.95
2025,5,28,6,59.53
2025,5,28,7,153.52
2025,5,28,8,292.17
2025,5,28,9,464.65
2025,5,28,10,592.17
2025,5,28,11,730.3
2025,5,28,12,669.85
2025,5,28,13,592.67
2025,5,28,14,543.03
2025,5,28,15,412.42
2025,5,28,16,256.8
2025,5,28,17,128.48
2025,5,28,18,40.05
2025,5,28,19,0.0
2025,5,28,20,0.0
2025,5,28,21,0.0
2025,5,28,22,0.0
2025,5,28,23,0.0
2025,5,29,0,0.0
2025,5,29,1,0.0
2025,5,29,2,0.0
2025,5,29,3,0.0
2025,5,29,4,0.0
2025,5,29,5,4.22
2025,5,29,6,68.15
2025,5,29,7,166.85
2025,5,29,8,363.88
2025,5,29,9,573.22
2025,5,29,10,723.12
2025,5,29,11,829.22
2025,5,29,12,843.97
2025,5,29,13,755.42
2025,5,29,14,690.25
2025,5,29,15,546.6
2025,5,29,16,364.48
2025,5,29,17,185.7
2025,5,29,18,55.05
2025,5,29,19,0.0
2025,5,29,20,0.0
2025,5,29,21,0.0
2025,5,29,22,0.0
2025,5,29,23,0.0
2025,5,30,0,0.0
2025,5,30,1,0.0
2025,5,30,2,0.0
2025,5,30,3,0.0
2025,5,30,4,0.0
2025,5,30,5,4.53
2025,5,30,6,76.7
2025,5,30,7,199.15
2025,5,30,8,371.05
2025,5,30,9,596.7
2025,5,30,10,712.7
2025,5,30,11,927.4
2025,5,30,12,881.95
2025,5,30,13,709.05
2025,5,30,14,724.15
2025,5,30,15,566.9
2025,5,30,16,344.1
2025,5,30,17,184.4
2025,5,30,18,56.88
2025,5,30,19,0.0
2025,5,30,20,0.0
2025,5,30,21,0.0
2025,5,30,22,0.0
2025,5,30,23,0.0
2025,5,31,0,0.0
2025,5,31,1,0.0
2025,5,31,2,0.0
2025,5,31,3,0.0
2025,5,31,4,0.0
2025,5,31,5,5.75
2025,5,31,6,97.05
2025,5,31,7,248.57
2025,5,31,8,441.25
2025,5,31,9,655.17
2025,5,31,10,833.2
2025,5,31,11,1016.75
2025,5,31,12,896.17
2025,5,31,13,886.65
2025,5,31,14,776.28
2025,5,31,15,611.88
2025,5,31,16,406.2
2025,5,31,17,209.07
2025,5,31,18,62.35
2025,5,31,19,0.0
2025,5,31,20,0.0
2025,5,31,21,0.0
2025,5,31,22,0.0
2025,5,31,23,0.0
2025,6,1,0,0.0
2025,6,1,1,0.0
2025,6,1,2,0.0
2025,6,1,3,0.0
2025,6,1,4,0.0
2025,6,1,5,4.32
2025,6,1,6,79.22
2025,6,1,7,232.57
2025,6,1,8,422.67
2025,6,1,9,643.47
2025,6,1,10,801.83
2025,6,1,11,883.47
2025,6,1,12,912.03
2025,6,1,13,825.47
2025,6,1,14,779.58
2025,6,1,15,632.08
2025,6,1,16,436.42
2025,6,1,17,235.65
2025,6,1,18,64.12
2025,6,1,19,0.0
2025,6,1,20,0.0
2025,6,1,21,0.0
2025,6,1,22,0.0
2025,6,1,23,0.0
2025,6,2,0,0.0
2025,6,2,1,0.0
2025,6,2,2,0.0
2025,6,2,3,0.0
2025,6,2,4,0.0
2025,6,2,5,4.78
2025,6,2,6,85.65
2025,6,2,7,251.65
2025,6,2,8,456.95
2025,6,2,9,676.4
2025,6,2,10,834.25
2025,6,2,11,929.97
2025,6,2,12,919.22
2025,6,2,13,854.1
2025,6,2,14,753.85
2025,6,2,15,587.1
2025,6,2,16,383.35
2025,6,2,17,190.35
2025,6,2,18,61.97
2025,6,2,19,0.0
2025,6,2,20,0.0
2025,6,2,21,0.0
2025,6,2,22,0.0
2025,6,2,23,0.0
2025,6,3,0,0.0
2025,6,3,1,0.0
2025,6,3,2,0.0
2025,6,3,3,0.0
2025,6,3,4,0.0
2025,6,3,5,4.4
2025,6,3,6,72.82
2025,6,3,7,200.3
2025,6,3,8,400.1
2025,6,3,9,612.58
2025,6,3,10,793.95
2025,6,3,11,887.55
2025,6,3,12,818.25
2025,6,3,13,724.05
2025,6,3,14,638.5
2025,6,3,15,517.12
2025,6,3,16,352.6
2025,6,3,17,187.32
2025,6,3,18,52.45
2025,6,3,19,0.0
2025,6,3,20,0.0
2025,6,3,21,0.0
2025,6,3,22,0.0
2025,6,3,23,0.0
2025,6,4,0,0.0
2025,6,4,1,0.0
2025,6,4,2,0.0
2025,6,4,3,0.0
2025,6,4,4,0.0
2025,6,4,5,3.92
2025,6,4,6,65.18
2025,6,4,7,185.43
2025,6,4,8,362.48
2025,6,4,9,583.1
2025,6,4,10,744.88
2025,6,4,11,839.97
2025,6,4,12,869.72
2025,6,4,13,813.97
2025,6,4,14,720.15
2025,6,4,15,566.38
2025,6,4,16,391.48
2025,6,4,17,199.68
2025,6,4,18,60.83
2025,6,4,19,0.0
2025,6,4,20,0.0
2025,6,4,21,0.0
2025,6,4,22,0.0
2025,6,4,23,0.0
2025,6,5,0,0.0
2025,6,5,1,0.0
2025,6,5,2,0.0
2025,6,5,3,0.0
2025,6,5,4,0.0
2025,6,5,5,4.57
2025,6,5,6,71.53
2025,6,5,7,195.8
2025,6,5,8,382.65
2025,6,5,9,568.88
2025,6,5,10,738.92
2025,6,5,11,831.0
2025,6,5,12,918.67
2025,6,5,13,876.03
2025,6,5,14,765.45
2025,6,5,15,602.33
2025,6,5,16,407.8
2025,6,5,17,212.12
2025,6,5,18,65.4
2025,6,5,19,0.0
2025,6,5,20,0.0
2025,6,5,21,0.0
2025,6,5,22,0.0
2025,6,5,23,0.0
2025,6,6,0,0.0
2025,6,6,1,0.0
2025,6,6,2,0.0
2025,6,6,3,0.0
2025,6,6,4,0.0
2025,6,6,5,5.18
2025,6,6,6,98.03
2025,6,6,7,263.42
